username,repo_name,stars,repo_url
mrdoob,three.js,71300,https://github.com/mrdoob/three.js
libgdx,libgdx,18500,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,14100,https://github.com/BabylonJS/Babylon.js
pmndrs,react-three-fiber,13500,https://github.com/pmndrs/react-three-fiber
aframevr,aframe,12800,https://github.com/aframevr/aframe
ssloy,tinyrenderer,10700,https://github.com/ssloy/tinyrenderer
lettier,3d-game-shaders-for-beginners,10400,https://github.com/lettier/3d-game-shaders-for-beginners
FreeCAD,FreeCAD,9400,https://github.com/FreeCAD/FreeCAD
metafizzy,zdog,8500,https://github.com/metafizzy/zdog
CesiumGS,cesium,7100,https://github.com/CesiumGS/cesium
a1studmuffin,SpaceshipGenerator,6800,https://github.com/a1studmuffin/SpaceshipGenerator
timzhang642,3D-Machine-Learning,6700,https://github.com/timzhang642/3D-Machine-Learning
intel-isl,Open3D,4500,https://github.com/intel-isl/Open3D
spritejs,spritejs,4500,https://github.com/spritejs/spritejs
tensorspace-team,tensorspace,4400,https://github.com/tensorspace-team/tensorspace
jagenjo,webglstudio.js,4400,https://github.com/jagenjo/webglstudio.js
AaronJackson,vrn,4300,https://github.com/AaronJackson/vrn
YadiraF,PRNet,4300,https://github.com/YadiraF/PRNet
openscad,openscad,4100,https://github.com/openscad/openscad
domlysz,BlenderGIS,3900,https://github.com/domlysz/BlenderGIS
ssloy,tinyraytracer,3800,https://github.com/ssloy/tinyraytracer
mosra,magnum,3500,https://github.com/mosra/magnum
gfxfundamentals,webgl-fundamentals,3000,https://github.com/gfxfundamentals/webgl-fundamentals
cleardusk,3DDFA,3000,https://github.com/cleardusk/3DDFA
google,model-viewer,3000,https://github.com/google/model-viewer
jasonlong,isometric-contributions,2900,https://github.com/jasonlong/isometric-contributions
blender,blender,2700,https://github.com/blender/blender
antvis,L7,2300,https://github.com/antvis/L7
pissang,claygl,2200,https://github.com/pissang/claygl
cnr-isti-vclab,meshlab,2200,https://github.com/cnr-isti-vclab/meshlab
